Abreviatura,Descripción,Número de horas semanales,Troncal,Optativa
GeH,Geografía e Historia,4,x,
LCL,Lengua Castellana y Literatura,3,x,
MAC,"Matemáticas Orientadas a las Enseñanzas
Académicas
",3,x,
MAP,APLICADAS,3,x,
ING,INGLÉS,4,x,
ByG,Biología y Geología,3,,
ECO,Economía,3,,
FyQ,Física y Química,3,,
LAT,Latín,3,,
CAAP,Ciencias Aplicadas a la Actividad Profesional,3,,
IAEyE,"Iniciación a la Actividad Emprendedora y
Empresarial
",3,,
EF,Educación Física,2,,
REL,Religión Católica,1,,
VE,Valores Éticos,1,,
REV,Religión Evangélica,1,,
CCI,Cultura Científica,3,,
MUS,Música,3,,
FR2,Francés (Segundo Idioma),3,,
TIC,Tecnologías de la Información y la Comunicación,3,,
RMT,"Programa de Refuerzo de Materias Troncales
Generales
",3,,
TEC (Esp),Tecnología (Esp),3,,
