date, time, project, description
23-5-2022, 60, general,team meeting
26-5-2022, 30, DSG,meeting AMRC Lindsay
13-6-2022, 60, general,team meeting
15-6-2022, 60, DSG,Dft proposal review
20-6-2022, 60, general,team meeting
20-6-2022, 60 ,DSG,Facilitator video recording with JJ
22-6-2022, 30, TIN,email Anna HSBC
27-6-2022, 30, TIN,keep wales clean slack
27-6-2022, 60, general,team meeting
1-7-2022, 150, TIN, CV reviews x12
4-7-2022, 60, general,team meeting
11-7-2022, 60, general,team meeting
25-7-2022, 60, general,team meeting
28-7-2022, 60, TIN,mail reading + ans for interviews
1-8-2022, 60, general,team meeting
2-8-2022, 60, TIN,preinterview w Lisa
2-8-2022, 60, TIN,Interview #1
5-8-2022, 300, TIN,Interview x3 + Discussion w Lisa and analysis Sustrant -->> not sure how many i inputed here -- might be a mistake
8-8-2022, 180, TIN,Interview x2 + Discussion w Time and analysis PMLB
11-8-2022, 240, TIN,Interview x3 + Discussion w EIA
2-9-2022, 60, DSG,cathing up in DSG challenges
5-9-2022, 60, DSG,cathing up in DSG challenges + meeting
7-9-2022, 120, TIN,JD Accenture + MOD + Clifford
12-9-2022, 60, general,team meeting
14-9-2022, 60, TIN,JD Royal navy x2
22-9-2022, 60, general,team  + JD
26-9-2022, 60, general,team meeting
